subject_id,block_order,block_condition,trial,cat_number,stim_number,approach_reward,choice,points
3768,1,2,1,3,15,2,1,2
3768,1,2,2,1,4,-4,2,0
3768,1,2,3,1,5,-2,1,-2
3768,1,2,4,3,15,2,1,2
3768,1,2,5,2,9,8,2,0
3768,1,2,6,1,4,-4,2,0
3768,1,2,7,2,8,-5,1,-5
3768,1,2,8,2,6,-7,1,-7
3768,1,2,9,1,2,5,1,5
3768,1,2,10,1,2,5,2,0
3768,1,2,11,3,13,-8,1,-8
3768,1,2,12,2,6,-7,2,0
3768,1,2,13,2,9,8,1,8
3768,1,2,14,3,11,-3,2,0
3768,1,2,15,3,11,-3,2,0
3768,1,2,16,2,6,-7,2,0
3768,1,2,17,3,15,2,1,2
3768,1,2,18,3,14,6,2,0
3768,1,2,19,1,5,-2,2,0
3768,1,2,20,2,9,8,1,8
3768,1,2,21,1,1,-9,2,0
3768,1,2,22,2,6,-7,2,0
3768,1,2,23,3,11,-3,2,0
3768,1,2,24,1,2,5,2,0
3768,1,2,25,3,13,-8,2,0
3768,1,2,26,2,6,-7,2,0
3768,1,2,27,2,9,8,1,8
3768,1,2,28,2,9,8,1,8
3768,1,2,29,1,4,-4,2,0
3768,1,2,30,3,11,-3,2,0
3768,1,2,31,1,2,5,2,0
3768,1,2,32,2,10,3,2,0
3768,1,2,33,2,8,-5,2,0
3768,1,2,34,1,4,-4,2,0
3768,1,2,35,1,2,5,2,0
3768,1,2,36,3,15,2,1,2
3768,1,2,37,3,15,2,1,2
3768,1,2,38,3,15,2,1,2
3768,1,2,39,3,13,-8,2,0
3768,1,2,40,1,4,-4,2,0
3768,1,2,41,2,6,-7,2,0
3768,1,2,42,1,2,5,1,5
3768,1,2,43,1,5,-2,2,0
3768,1,2,44,3,11,-3,2,0
3768,1,2,45,2,9,8,1,8
3768,1,2,46,1,3,7,2,0
3768,1,2,47,2,7,1,1,1
3768,1,2,48,3,11,-3,2,0
3768,1,2,49,3,12,4,2,0
3768,1,2,50,1,4,-4,2,0
3768,1,2,51,2,8,-5,2,0
3768,2,1,1,1,2,-4,1,-4
3768,2,1,2,1,4,-3,2,0
3768,2,1,3,2,8,8,2,0
3768,2,1,4,1,5,-3,2,0
3768,2,1,5,3,12,1,2,0
3768,2,1,6,2,8,8,1,8
3768,2,1,7,1,4,-5,2,0
3768,2,1,8,1,2,-2,2,0
3768,2,1,9,2,7,5,1,5
3768,2,1,10,2,10,5,1,5
3768,2,1,11,3,14,-1,1,-1
3768,2,1,12,2,7,6,1,6
3768,2,1,13,3,14,-1,2,0
3768,2,1,14,3,13,-1,1,-1
3768,2,1,15,3,12,-1,1,-1
3768,2,1,16,3,13,-1,2,0
3768,2,1,17,2,9,8,1,8
3768,2,1,18,1,2,-5,2,0
3768,2,1,19,1,2,-1,2,0
3768,2,1,20,3,12,-3,2,0
3768,2,1,21,2,10,5,1,5
3768,2,1,22,2,7,3,1,3
3768,2,1,23,3,11,2,2,0
3768,2,1,24,3,12,-1,2,0
3768,2,1,25,2,8,8,1,8
3768,2,1,26,2,8,4,1,4
3768,2,1,27,3,13,-1,2,0
3768,2,1,28,1,3,-1,2,0
3768,2,1,29,3,14,1,2,0
3768,2,1,30,3,14,1,1,1
3768,2,1,31,1,4,-3,2,0
3768,2,1,32,1,4,-1,2,0
3768,2,1,33,2,7,4,1,4
3768,2,1,34,3,14,-2,2,0
3768,2,1,35,2,7,5,1,5
3768,2,1,36,1,5,-2,2,0
3768,2,1,37,3,14,1,2,0
3768,2,1,38,3,12,1,2,0
3768,2,1,39,3,12,1,1,1
3768,2,1,40,1,4,-1,2,0
3768,2,1,41,1,2,-5,2,0
3768,2,1,42,1,1,-2,2,0
3768,2,1,43,1,4,-3,2,0
3768,2,1,44,1,5,-1,2,0
3768,2,1,45,1,2,-3,2,0
3768,2,1,46,2,7,8,1,8
3768,2,1,47,2,8,7,1,7
3768,2,1,48,2,8,5,1,5
3768,2,1,49,2,6,5,1,5
3768,2,1,50,2,10,5,1,5
3768,3,2,1,3,11,6,1,6
3768,3,2,2,3,12,4,2,0
3768,3,2,3,1,4,7,2,0
3768,3,2,4,3,12,4,1,4
3768,3,2,5,1,3,3,2,0
3768,3,2,6,1,1,-7,2,0
3768,3,2,7,1,4,7,1,7
3768,3,2,8,3,13,-9,1,-9
3768,3,2,9,1,3,3,2,0
3768,3,2,10,2,6,5,1,5
3768,3,2,11,2,6,5,1,5
3768,3,2,12,2,5,2,1,2
3768,3,2,13,2,9,-8,1,-8
3768,3,2,14,3,13,-9,2,0
3768,3,2,15,2,9,-8,2,0
3768,3,2,16,1,4,7,1,7
3768,3,2,17,2,6,5,1,5
3768,3,2,18,2,9,-8,1,-8
3768,3,2,19,3,13,-9,2,0
3768,3,2,20,1,4,7,1,7
3768,3,2,21,1,4,7,1,7
3768,3,2,22,2,5,2,2,0
3768,3,2,23,3,12,4,1,4
3768,3,2,24,1,3,3,1,3
