subject_id,beta_c_cCond,beta_e_cCond,beta_c_eCond,beta_e_eCond,alpha,q_init
3718,-0.03633,2.0481,-1.4413,2.1692,-0.84577,0.11108
3722,1.1742,1.5176,0.69301,1.8674,-1.4336,0.53431
3768,2.6179,3.439,1.1462,2.6961,-1.7038,0.00029578
3770,1.7245,-0.97143,-0.085712,0.62273,-0.40693,-1.2006
3812,0.71859,-1.4411,0.53129,-0.55525,-2.0114,1.7955
3816,2.0092,2.6695,0.51782,2.139,-0.42649,0.17199
3817,1.1124,1.0009,-0.092161,1.2882,-0.16778,2.1879
3834,1.561,0.090312,-0.066476,1.3559,0.25291,2.3851
3835,0.60743,0.62275,1.0667,1.0995,-1.0239,4.6477
3838,-1.2876,1.4444,-1.6849,1.2973,-0.059494,0.95256
3841,2.6143,1.1647,-0.60202,2.916,-3.5623,1.0551
3844,0.5901,2.7582,0.66781,1.3954,-0.68521,0.31368
3848,2.0286,0.2166,1.3265,1.4618,-0.4702,1.6283
3853,2.4335,-0.48056,0.48225,1.5283,0.027681,1.7397
3855,1.8128,-0.31022,0.1137,1.4401,-0.67605,2.0002
3856,1.3075,0.64196,-1.3029,1.6379,0.001207,1.002
3857,1.9107,1.7285,-0.5519,1.0663,-0.076675,-0.048262
3861,2.8638,-0.20549,-0.12867,1.8911,-2.1445,0.62572
3862,0.99002,1.8252,-1.3495,0.16866,-0.49347,-1.5333
3871,0.11444,2.7522,1.388,1.9861,-1.3807,0.59471
3878,1.1139,2.826,1.0477,1.3132,-1.3269,-0.054167
3883,-0.075811,0.93517,-0.44117,0.48659,0.91934,2.7315
3898,1.6974,1.5896,0.31341,1.4624,0.56206,2.0963
3994,0.77561,2.1953,0.55375,1.6031,-0.73435,0.49905
3998,1.2274,2.35,0.34979,2.4802,-0.89016,0.63853
3999,0.40937,1.0027,-0.53581,-0.84069,0.46486,0.34725
4003,2.3678,2.2156,0.35713,1.9339,0.49033,0.94615
4007,0.039471,1.321,-1.3362,0.94962,0.21767,1.2624
4008,1.7431,1.9405,1.3234,2.9052,-0.48017,-0.044799
4011,1.6117,2.1761,-1.8912,1.2325,0.43271,-0.73516
4016,2.4857,0.014411,1.5767,2.8066,-0.76445,-0.63283
4022,1.3688,0.83252,0.2007,0.89982,0.7305,2.0609
4024,0.57502,-0.24681,-0.52166,-2.1992,1.8235,-0.69011
4028,1.633,-1.3104,0.44575,1.8525,-1.131,1.3009
4032,-0.29301,3.1127,2.1558,2.8275,-2.1359,0.0035473
4036,1.4933,-1.8515,0.91765,0.64878,-1.1726,2.5649
4041,-0.41274,1.4049,-0.23239,1.4329,0.41595,3.023
4045,3.2144,0.11022,-1.1625,2.8321,-2.2473,0.35286
4050,0.49254,2.6384,-1.0253,2.1919,-0.22931,0.40929
4052,1.7879,-0.8729,-1.4949,1.03,0.79261,1.3238
4062,2.3826,0.48878,-0.11584,1.372,-0.90801,0.92693
4077,1.3977,1.1962,-1.2779,1.7698,-0.20226,0.82637
4087,1.9538,0.90047,1.0254,1.3275,-0.65151,2.5201
4092,1.9769,2.0759,-2.0758,1.3856,-1.0935,0.1597
4097,2.2699,2.6364,1.5818,1.5149,-2.0815,0.27824
4098,3.2756,1.4782,0.94054,2.4258,-1.6286,0.89091
4284,1.5799,2.621,-0.53648,2.3225,-0.64059,-0.0063473
4293,0.17121,0.72496,0.89148,0.78595,-0.79916,1.8641
4294,0.5326,1.6356,-1.9448,1.6126,0.49672,0.20811
4300,0.69204,2.0517,0.038435,2.259,-1.1651,0.23439
4306,2.0356,1.2805,-0.46981,2.017,0.088104,2.1777
4487,0.24583,-0.12117,0.65622,1.1256,-2.6857,0.96544
4491,1.4632,0.14015,1.6923,1.7823,-1.6558,0.87748
4494,0.59875,2.0403,0.74434,2.0341,-0.72718,0.83151
4495,1.6898,3.3355,1.0097,1.8029,-1.0283,0.29609
4500,1.7765,2.404,-1.2692,2.237,-0.57606,1.1933
4506,-0.62841,2.737,-1.2211,2.1973,-0.22676,-0.91801
4507,1.3577,2.5451,-0.55758,2.9865,-2.9919,-0.68176
4508,0.029233,2.487,-1.7425,2.6262,-0.99535,0.027581
4516,1.6764,1.477,0.94497,1.6288,-1.1518,0.18903
4521,1.7712,1.903,0.40165,1.5432,0.42841,1.9489
4855,2.1505,3.5221,0.42727,1.7415,-0.34254,-0.33838
4857,0.82138,2.4118,0.91277,1.9349,-1.0182,-0.29319
5174,0.99582,1.1497,1.854,2.8645,-1.7169,0.27762
5175,1.6198,2.7488,-1.0385,3.3113,-1.841,-0.53287
5178,0.88388,1.2953,-0.25006,0.85573,-0.68734,-0.093766
5191,1.4022,2.2722,0.55367,2.2906,-1.264,-0.73028
5193,2.8361,2.5075,1.917,3.0329,-1.3781,0.34391
5433,1.2489,1.9681,0.37988,2.0522,0.24783,-2.5091
5560,-0.64662,1.4439,2.7038,1.6892,-2.6057,0.52444
5565,1.1177,3.0451,0.64797,2.7667,-0.88522,0.57376
5592,2.0608,1.253,1.0686,2.2631,0.20671,1.3146
5626,0.24491,2.1136,-0.54461,1.7424,0.028865,0.70085
5635,1.5704,1.1861,1.3182,2.573,-1.5316,-0.62795
5639,2.1042,1.5134,1.5289,1.6149,-1.4458,1.2333
5640,1.723,4.204,-1.2257,2.9767,-1.7003,-0.033577
5641,1.7108,2.309,1.1714,2.8303,-0.37628,-0.60966
5714,-0.88586,1.137,0.5502,0.43776,-0.52371,1.4433
5719,2.0496,0.083557,1.3607,1.393,-1.3647,1.7033
5720,1.4347,2.0155,0.83696,2.2092,-0.83515,1.2115
5723,-0.20072,1.4404,-0.37407,0.62933,-3.3846,1.6025
5757,2.0118,1.1189,-1.0831,1.3991,0.39074,1.4355
5759,1.2751,-1.2087,0.55589,1.0686,0.012685,0.30596
5809,-0.66676,2.0652,1.0686,1.1665,-0.90672,1.5592
5810,1.5449,2.0073,1.0102,1.7804,-1.5858,0.39212
5811,1.107,1.5965,-1.2402,1.9235,-0.9212,-1.0952
5813,-1.5638,1.1902,-0.42983,0.72959,-0.8528,3.1227
5866,2.1586,2.4901,0.076041,2.4003,-1.375,0.32762
5878,1.5007,0.59168,0.31444,1.4682,-0.2332,-1.718
5884,1.3824,2.2263,0.86147,2.1099,-0.72323,0.50503
5885,1.7554,2.5761,-0.36764,1.4313,-0.60142,0.52851
5887,1.9454,2.0765,0.71283,2.456,-1.079,0.42079
5888,1.8898,-0.80601,0.21295,1.0166,0.36581,2.3833
5889,0.94126,1.7978,0.5766,2.1068,0.40454,-2.5797
5890,0.46844,1.7777,-0.51363,2.1044,0.45104,1.9364
5938,-1.2525,2.2246,-0.25384,2.3586,-0.24698,0.59861
6055,1.776,1.7822,0.89562,1.8329,-0.64244,1.6405
6130,2.3527,1.1424,1.4141,2.0415,-0.63048,1.3962
6131,-0.44581,1.8319,-0.74989,0.776,-1.034,0.46204
6132,0.90321,1.7384,-0.42589,1.1126,-0.17014,0.9703
6135,1.2674,0.22008,-1.1299,0.63679,0.87883,2.3648
6153,-0.66381,0.91068,0.44265,0.062708,-4.1213,2.1157
6212,2.7457,2.995,1.9701,2.0257,-2.2769,-0.15746
6217,1.8934,-0.93677,0.76787,1.2647,-0.011478,0.085228
6223,2.4257,3.0549,0.67416,1.192,-0.97088,0.13439
6256,1.5891,0.73135,-0.35511,1.1959,0.67169,3.1484
6275,1.2523,2.4699,-1.4917,1.8376,-0.49852,0.57955
6279,0.30285,2.3546,1.1884,2.2044,-1.1744,0.3914
6280,0.78455,0.79537,0.04586,1.8026,0.40034,1.2817
6285,0.09327,1.4795,-1.2156,1.1002,0.90469,2.2847
6286,1.8675,-0.17042,0.70829,0.72137,-0.39217,1.1706
6289,1.1957,1.2797,0.20059,1.38,0.30256,2.0383
6292,1.2283,1.8848,-0.28554,2.5375,-0.62628,1.0598
6293,1.076,-1.0697,0.09248,-0.19715,0.34403,2.4464
6294,1.2346,2.1159,-0.12592,2.5063,0.047193,0.47253
6295,2.1688,1.0281,1.8711,1.7921,-0.75509,0.65277
6380,1.5481,0.9164,-1.503,1.0146,0.10046,2.4387
6381,0.1392,-0.70507,0.45743,1.6388,-1.4617,2.4937
6407,1.0541,0.58156,-1.9931,1.3356,0.14951,2.7615
6409,1.4604,1.8119,0.29692,1.7734,0.61659,1.9088
6410,2.3755,0.46521,-0.21945,1.9453,-0.21773,0.51796
6411,0.47605,1.5276,-0.24345,1.2713,0.5655,2.6617
6414,1.5159,1.3832,-1.5688,2.3203,1.3785,0.14337
6416,0.25593,1.9272,0.73766,1.4357,-0.24464,-0.23621
6417,1.3811,2.7946,-0.70561,2.1474,-1.6284,-0.37952
6460,1.0701,-0.84468,-1.0968,0.36567,0.54282,2.4621
6461,0.45521,2.2342,-1.6555,1.8979,-0.93963,-0.70773
6489,0.51455,2.5622,-1.2304,2.9876,-0.68208,0.10618
6490,3.0724,2.3185,0.50368,3.4348,-1.8515,0.029593
7056,3.19,3.6984,0.4971,1.9967,-0.98874,-0.3676
7077,0.74504,0.85051,0.30829,1.5904,-0.039354,0.099628
7083,1.3418,3.1569,1.1575,2.1681,-1.8169,-0.42468
7145,2.1485,3.6923,0.96191,2.2475,-1.0543,-0.047982
7147,1.9681,1.5617,-1.1697,1.8537,0.27828,-1.7388
7148,1.6283,2.9325,-0.085444,2.2361,-1.1503,0.10946
7196,2.0787,2.8687,0.71482,1.9705,-0.6879,0.44359
7198,-0.028673,0.57502,-0.56997,1.252,0.052782,2.8073
7199,2.0004,0.061919,-0.45427,1.7779,-0.33291,2.5088
7200,2.4882,4.4146,0.5543,2.8465,-1.9718,-0.020661
7240,3.1666,0.60086,1.4721,1.5398,-1.114,-0.49952
7253,0.85734,0.47146,0.82211,0.73131,-1.2831,1.4922
7579,0.52025,1.9134,-0.1016,1.6741,0.34038,0.8557
7647,0.39495,3.7981,1.0105,2.5941,-1.7702,-0.18322
7653,1.4187,2.7665,0.25696,2.4528,-0.86949,0.093619
7654,0.86361,0.87955,-2.0655,0.9471,1.1272,-0.67544
