subject_id,age
1551,11.31
1512,8.05
1590,11.73
1860,12.57
1585,10.25
1846,11.45
1529,12.69
1575,8.86
1800,10.74
1858,11.92
1855,10.85
1871,20.73
1963,24.5
1424,19.2
1713,22.01
1532,18.96
1869,19.66
1718,24.46
1990,20.4
1712,21.95
1611,22.22
1896,24.48
1841,19.85
1617,23.75
1631,9.3
2000,23.83
1710,21.8
1719,24.1
1616,23.25
1525,11.72
1726,11.33
1582,9.57
1838,23.32
1528,12.86
1793,8.17
1523,11.39
1416,10.78
1495,10.88
1498,11.26
1837,22.63
1988,12.31
1905,11.55
1898,20.49
1504,12.47
1734,25.76
1586,11.8
1922,24.01
1840,21.71
1420,12.27
1441,9.89
1573,8.86
1521,10.06
1527,12.01
1417,10.6
1439,8.34
1515,9.76
1627,12.49
1545,23.49
1731,20.42
1608,21.25
1436,25.53
1595,18.47
1599,19.19
1428,21.73
1530,18.51
1711,21.15
1500,19.41
1531,18.61
1502,22.55
1601,20.54
1863,25.59
1706,18.44
1609,22.71
